,Program Year,Region,State/Territory,ETA Code,Local Board Name,Jurisdiction Name,Created Timestamp,Modified Timestamp,Status
21,2023,Region 3,Alabama,1030,East Alabama Works!,Etowah County,01-Jun-2023,,Approved
22,2023,Region 3,Alabama,1030,East Alabama Works!,Calhoun County,01-Jun-2023,,Approved
23,2023,Region 3,Alabama,1030,East Alabama Works!,Cleburne County,01-Jun-2023,,Approved
24,2023,Region 3,Alabama,1030,East Alabama Works!,Talladega County,01-Jun-2023,,Approved
25,2023,Region 3,Alabama,1030,East Alabama Works!,Clay County,01-Jun-2023,,Approved
26,2023,Region 3,Alabama,1035,North Alabama Works!,De Kalb County,01-Jun-2023,,Approved
27,2023,Region 3,Alabama,1035,North Alabama Works!,Marion County,01-Jun-2023,,Approved
28,2023,Region 3,Alabama,1035,North Alabama Works!,Lauderdale County,01-Jun-2023,,Approved
29,2023,Region 3,Alabama,1035,North Alabama Works!,Winston County,01-Jun-2023,,Approved
30,2023,Region 3,Alabama,1035,North Alabama Works!,Cullman County,01-Jun-2023,,Approved
31,2023,Region 3,Alabama,1035,North Alabama Works!,Madison County,01-Jun-2023,,Approved
32,2023,Region 3,Alabama,1035,North Alabama Works!,Jackson County,01-Jun-2023,,Approved
33,2023,Region 3,Alabama,1035,North Alabama Works!,Morgan County,01-Jun-2023,,Approved
34,2023,Region 3,Alabama,1035,North Alabama Works!,Colbert County,01-Jun-2023,,Approved
35,2023,Region 3,Alabama,1035,North Alabama Works!,Limestone County,01-Jun-2023,,Approved
36,2023,Region 3,Alabama,1035,North Alabama Works!,Franklin County,01-Jun-2023,,Approved
37,2023,Region 3,Alabama,1035,North Alabama Works!,Marshall County,01-Jun-2023,,Approved
38,2023,Region 3,Alabama,1035,North Alabama Works!,Lawrence County,01-Jun-2023,,Approved
39,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Covington County,01-Jun-2023,,Approved
40,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Geneva County,01-Jun-2023,,Approved
41,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Coffee County,01-Jun-2023,,Approved
42,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Pike County,01-Jun-2023,,Approved
43,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Dale County,01-Jun-2023,,Approved
44,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Butler County,01-Jun-2023,,Approved
45,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Houston County,01-Jun-2023,,Approved
46,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Crenshaw County,01-Jun-2023,,Approved
47,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Barbour County,01-Jun-2023,,Approved
48,2023,Region 3,Alabama,1040,Southeast Alabama Works!,Henry County,01-Jun-2023,,Approved
49,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Baldwin County,01-Jun-2023,,Approved
50,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Washington County,01-Jun-2023,,Approved
51,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Conecuh County,01-Jun-2023,,Approved
52,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Monroe County,01-Jun-2023,,Approved
53,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Clarke County,01-Jun-2023,,Approved
54,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Mobile City/Mobile County,01-Jun-2023,,Approved
55,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Choctaw County,01-Jun-2023,,Approved
56,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Wilcox County,01-Jun-2023,,Approved
57,2023,Region 3,Alabama,1045,Southwest Alabama Partnership and Training and Employment,Escambia County,01-Jun-2023,,Approved
58,2023,Region 3,Alabama,1050,West Alabama Works!,Greene County,01-Jun-2023,,Approved
59,2023,Region 3,Alabama,1050,West Alabama Works!,Marengo County,01-Jun-2023,,Approved
60,2023,Region 3,Alabama,1050,West Alabama Works!,Fayette County,01-Jun-2023,,Approved
61,2023,Region 3,Alabama,1050,West Alabama Works!,Tuscaloosa County,01-Jun-2023,,Approved
62,2023,Region 3,Alabama,1050,West Alabama Works!,Lamar County,01-Jun-2023,,Approved
63,2023,Region 3,Alabama,1050,West Alabama Works!,Bibb County,01-Jun-2023,,Approved
64,2023,Region 3,Alabama,1050,West Alabama Works!,Sumter County,01-Jun-2023,,Approved
65,2023,Region 3,Alabama,1050,West Alabama Works!,Hale County,01-Jun-2023,,Approved
66,2023,Region 3,Alabama,1050,West Alabama Works!,Pickens County,01-Jun-2023,,Approved
67,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Aleutians East Borough,01-Jun-2023,,Approved
68,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Fairbanks North Star Borough,01-Jun-2023,,Approved
69,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Matanuska-Susitna Borough,01-Jun-2023,,Approved
70,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Valdez-Cordova Borough,01-Jun-2023,,Approved
71,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Bethel Borough,01-Jun-2023,,Approved
72,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Kenai Peninsula Borough,01-Jun-2023,,Approved
73,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Prince Of Wales-Outer Ketchikan Borough,01-Jun-2023,,Approved
74,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Yukon-Koyukuk Borough,01-Jun-2023,,Approved
75,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Dillingham Borough,01-Jun-2023,,Approved
76,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Lake And Peninsula Borough,01-Jun-2023,,Approved
77,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Southeast Fairbanks Borough,01-Jun-2023,,Approved
78,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Anchorage Borough,01-Jun-2023,,Approved
79,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Juneau Borough,01-Jun-2023,,Approved
80,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Northwest Arctic Borough,01-Jun-2023,,Approved
81,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Wrangell-Petersburg Borough,01-Jun-2023,,Approved
82,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Denali Borough,01-Jun-2023,,Approved
83,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Kodiak Island Borough,01-Jun-2023,,Approved
84,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Skagway-Yakutat-Angoon Borough,01-Jun-2023,,Approved
85,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Aleutians West Borough,01-Jun-2023,,Approved
86,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Haines Borough,01-Jun-2023,,Approved
87,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,North Slope Borough,01-Jun-2023,,Approved
88,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Wade Hampton Borough,01-Jun-2023,,Approved
89,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Bristol Bay Borough,01-Jun-2023,,Approved
90,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Ketchikan Gateway Borough,01-Jun-2023,,Approved
91,2023,Region 6,Alaska,2025,Alaska Workforce Investment Board,Sitka Borough,01-Jun-2023,,Approved
92,2023,Region 6,Alaska,2030,Anchorage/Mat-Su Local Workforce Investment Area,Anchorage/Mat-Su Economic Region,01-Jun-2023,,Approved
93,2023,Region 6,Alaska,2035,Balance of State Local Workforce Investment Area,Northern Economic Region,01-Jun-2023,,Approved
94,2023,Region 6,Alaska,2035,Balance of State Local Workforce Investment Area,Interior Economic Region,01-Jun-2023,,Approved
95,2023,Region 6,Alaska,2035,Balance of State Local Workforce Investment Area,Southwest Economic Region,01-Jun-2023,,Approved
96,2023,Region 6,Alaska,2035,Balance of State Local Workforce Investment Area,Gulf Coast Economic Region,01-Jun-2023,,Approved
97,2023,Region 6,Alaska,2035,Balance of State Local Workforce Investment Area,Southeast Economic Region,01-Jun-2023,,Approved
98,2023,Region 6,Arizona,4040,ARIZONA@WORK – Santa Cruz County,Santa Cruz County,25-Oct-2023,20-Sep-2023,Approved
99,2023,Region 6,Arizona,4080,ARIZONA@WORK – Yavapai County,Yavapai Reservation,25-Oct-2023,20-Sep-2023,Approved
100,2023,Region 6,Arizona,4080,ARIZONA@WORK – Yavapai County,Hualapai Reservation,25-Oct-2023,20-Sep-2023,Approved
101,2023,Region 6,Arizona,4080,ARIZONA@WORK – Yavapai County,Camp Verde Reservation,25-Oct-2023,20-Sep-2023,Approved
102,2023,Region 6,Arizona,4100,ARIZONA@WORK – Southeastern Arizona,Greenlee County,25-Oct-2023,20-Sep-2023,Approved
103,2023,Region 6,Arizona,4100,ARIZONA@WORK – Southeastern Arizona,Graham County,25-Oct-2023,20-Sep-2023,Approved
104,2023,Region 6,Arizona,4100,ARIZONA@WORK – Southeastern Arizona,Cochise County,25-Oct-2023,20-Sep-2023,Approved
105,2023,Region 6,Arizona,4110,ARIZONA@WORK – Northeastern Arizona,Navajo Reservation,25-Oct-2023,20-Sep-2023,Approved
106,2023,Region 6,Arizona,4110,ARIZONA@WORK – Northeastern Arizona,Fort Apache Reservation In Apache County,25-Oct-2023,20-Sep-2023,Approved
107,2023,Region 6,Arizona,4110,ARIZONA@WORK – Northeastern Arizona,Fort Apache Reservation,25-Oct-2023,20-Sep-2023,Approved
108,2023,Region 6,Arizona,4110,ARIZONA@WORK – Northeastern Arizona,Balance Of Gila County Less,25-Oct-2023,20-Sep-2023,Approved
109,2023,Region 6,Arizona,4115,ARIZONA@WORK – Pinal,Maricopa Reservation In Pinal County,25-Oct-2023,26-Oct-2023,Approved
110,2023,Region 6,Arizona,4115,ARIZONA@WORK – Pinal,San Carlos Reservation,25-Oct-2023,26-Oct-2023,Approved
111,2023,Region 6,Arizona,4115,ARIZONA@WORK – Pinal,Maricopa Reservation,25-Oct-2023,26-Oct-2023,Approved
112,2023,Region 6,Arizona,4115,ARIZONA@WORK – Pinal,Payson Community Of Yavapai-Apache,25-Oct-2023,26-Oct-2023,Approved
113,2023,Region 6,Arizona,4115,ARIZONA@WORK – Pinal,Balance Of Pinal County Less,25-Oct-2023,26-Oct-2023,Approved
114,2023,Region 6,Arizona,4115,ARIZONA@WORK – Pinal,Papago Reservation,25-Oct-2023,26-Oct-2023,Approved
115,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Colorado River Reservation In La Paz County,25-Oct-2023,20-Sep-2023,Approved
116,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Gila River Reservation,25-Oct-2023,20-Sep-2023,Approved
117,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Kaibab Reservation In Coconino County,25-Oct-2023,20-Sep-2023,Approved
118,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,San Carlos Reservation In Gila County,25-Oct-2023,20-Sep-2023,Approved
119,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Camp Verde Reservation In Yavapai County,25-Oct-2023,20-Sep-2023,Approved
120,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Fort Mohave Reservation In Yuma County,25-Oct-2023,20-Sep-2023,Approved
121,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Hopi Reservation,25-Oct-2023,20-Sep-2023,Approved
122,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Pascua Yaqui Reservation In Pima County,25-Oct-2023,20-Sep-2023,Approved
123,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Colorado River Reservation,25-Oct-2023,20-Sep-2023,Approved
124,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Gila Bend Reservation In Maricopa County,25-Oct-2023,20-Sep-2023,Approved
125,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Hualapai Reservation In Coconino County,25-Oct-2023,20-Sep-2023,Approved
126,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Salt River Reservation In Maricopa County,25-Oct-2023,20-Sep-2023,Approved
127,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Fort Mohave Reservation,25-Oct-2023,20-Sep-2023,Approved
128,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Havasupai Reservation In Coconino County,25-Oct-2023,20-Sep-2023,Approved
129,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Pascua Yaqui Reservation,25-Oct-2023,20-Sep-2023,Approved
130,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Yavapai Reservation In Yavapai County,25-Oct-2023,20-Sep-2023,Approved
131,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Cocopah Reservation In Yuma County,25-Oct-2023,20-Sep-2023,Approved
132,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Gila Bend Reservation,25-Oct-2023,20-Sep-2023,Approved
133,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Hualapai Reservation,25-Oct-2023,20-Sep-2023,Approved
134,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Salt River Reservation,25-Oct-2023,20-Sep-2023,Approved
135,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Fort Mc Dowell Reservation In Maricopa County,25-Oct-2023,20-Sep-2023,Approved
136,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Gila River Reservation In Maricopa County,25-Oct-2023,20-Sep-2023,Approved
137,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Papago Reservation In Maricopa County,25-Oct-2023,20-Sep-2023,Approved
138,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,San Xavier Reservation In Pima County,25-Oct-2023,20-Sep-2023,Approved
139,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Cocopah Reservation,25-Oct-2023,20-Sep-2023,Approved
140,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Fort Yuma Reservation In Yuma County,25-Oct-2023,20-Sep-2023,Approved
141,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Hopi Reservation In Coconino County,25-Oct-2023,20-Sep-2023,Approved
142,2023,Region 6,Arizona,4120,ARIZONA@WORK – Nineteen Tribal Nations,Payson Community Of Yavapai-Apache In Gila County,25-Oct-2023,20-Sep-2023,Approved
143,2023,Region 6,Arizona,4125,ARIZONA@WORK – Coconino County,Havasupai Reservation,25-Oct-2023,20-Sep-2023,Approved
144,2023,Region 6,Arizona,4125,ARIZONA@WORK – Coconino County,Kaibab Reservation,25-Oct-2023,20-Sep-2023,Approved
145,2023,Region 6,Arizona,4135,ARIZONA@WORK – Maricopa County,Papago Reservation,25-Oct-2023,26-Oct-2023,Approved
146,2023,Region 6,Arizona,4135,ARIZONA@WORK – Maricopa County,Fort Mc Dowell Reservation,25-Oct-2023,26-Oct-2023,Approved
147,2023,Region 6,Arizona,4140,ARIZONA@WORK – City of Phoenix,Phoenix,25-Oct-2023,20-Sep-2023,Approved
148,2023,Region 6,Arizona,4140,ARIZONA@WORK – City of Phoenix,Phoenix City,25-Oct-2023,20-Sep-2023,Approved
149,2023,Region 6,Arizona,4145,ARIZONA@WORK – Mohave and La Paz Counties,Kaibab Reservation,25-Oct-2023,20-Sep-2023,Approved
150,2023,Region 6,Arizona,4150,ARIZONA@WORK – Pima,San Xavier Reservation,25-Oct-2023,20-Sep-2023,Approved
151,2023,Region 6,Arizona,4150,ARIZONA@WORK – Pima,Papago Reservation,25-Oct-2023,20-Sep-2023,Approved
152,2023,Region 6,Arizona,4155,ARIZONA@WORK – Yuma County,Fort Yuma Reservation,25-Oct-2023,20-Sep-2023,Approved
153,2023,Region 4,Arkansas,5005,City of Little Rock,Little Rock City,01-Jun-2023,,Approved
154,2023,Region 4,Arkansas,5010,Central,Prairie County,01-Jun-2023,,Approved
155,2023,Region 4,Arkansas,5010,Central,Balance Of Pulaski County Less Little Rock City,01-Jun-2023,,Approved
156,2023,Region 4,Arkansas,5010,Central,Monroe County,01-Jun-2023,,Approved
157,2023,Region 4,Arkansas,5010,Central,Lonoke County,01-Jun-2023,,Approved
158,2023,Region 4,Arkansas,5010,Central,Saline County,01-Jun-2023,,Approved
159,2023,Region 4,Arkansas,5010,Central,Faulkner County,01-Jun-2023,,Approved
160,2023,Region 4,Arkansas,5020,North Central,Sharp County,01-Jun-2023,,Approved
161,2023,Region 4,Arkansas,5020,North Central,Fulton County,01-Jun-2023,,Approved
162,2023,Region 4,Arkansas,5020,North Central,White County,01-Jun-2023,,Approved
163,2023,Region 4,Arkansas,5020,North Central,Jackson County,01-Jun-2023,,Approved
164,2023,Region 4,Arkansas,5020,North Central,Cleburne County,01-Jun-2023,,Approved
165,2023,Region 4,Arkansas,5020,North Central,Van Buren County,01-Jun-2023,,Approved
166,2023,Region 4,Arkansas,5020,North Central,Izard County,01-Jun-2023,,Approved
167,2023,Region 4,Arkansas,5020,North Central,Stone County,01-Jun-2023,,Approved
168,2023,Region 4,Arkansas,5020,North Central,Independence County,01-Jun-2023,,Approved
169,2023,Region 4,Arkansas,5020,North Central,Woodruff County,01-Jun-2023,,Approved
170,2023,Region 4,Arkansas,5025,Northwest,Boone County,01-Jun-2023,,Approved
171,2023,Region 4,Arkansas,5025,Northwest,Marion County,01-Jun-2023,,Approved
172,2023,Region 4,Arkansas,5025,Northwest,Benton County,01-Jun-2023,,Approved
173,2023,Region 4,Arkansas,5025,Northwest,Washington County,01-Jun-2023,,Approved
174,2023,Region 4,Arkansas,5025,Northwest,Madison County,01-Jun-2023,,Approved
175,2023,Region 4,Arkansas,5025,Northwest,Baxter County,01-Jun-2023,,Approved
176,2023,Region 4,Arkansas,5025,Northwest,Searcy County,01-Jun-2023,,Approved
177,2023,Region 4,Arkansas,5025,Northwest,Carroll County,01-Jun-2023,,Approved
178,2023,Region 4,Arkansas,5025,Northwest,Newton County,01-Jun-2023,,Approved
179,2023,Region 4,Arkansas,5030,West Central,Johnson County,01-Jun-2023,,Approved
180,2023,Region 4,Arkansas,5030,West Central,Clark County,01-Jun-2023,,Approved
181,2023,Region 4,Arkansas,5030,West Central,Pike County,01-Jun-2023,,Approved
182,2023,Region 4,Arkansas,5030,West Central,Hot Spring County,01-Jun-2023,,Approved
183,2023,Region 4,Arkansas,5030,West Central,Perry County,01-Jun-2023,,Approved
184,2023,Region 4,Arkansas,5030,West Central,Garland County,01-Jun-2023,,Approved
185,2023,Region 4,Arkansas,5030,West Central,Yell County,01-Jun-2023,,Approved
186,2023,Region 4,Arkansas,5030,West Central,Montgomery County,01-Jun-2023,,Approved
187,2023,Region 4,Arkansas,5030,West Central,Conway County,01-Jun-2023,,Approved
188,2023,Region 4,Arkansas,5030,West Central,Pope County,01-Jun-2023,,Approved
189,2023,Region 4,Arkansas,5035,Western,Franklin County,01-Jun-2023,,Approved
190,2023,Region 4,Arkansas,5035,Western,Scott County,01-Jun-2023,,Approved
191,2023,Region 4,Arkansas,5035,Western,Crawford County,01-Jun-2023,,Approved
192,2023,Region 4,Arkansas,5035,Western,Polk County,01-Jun-2023,,Approved
193,2023,Region 4,Arkansas,5035,Western,Logan County,01-Jun-2023,,Approved
194,2023,Region 4,Arkansas,5035,Western,Sebastian County,01-Jun-2023,,Approved
195,2023,Region 4,Arkansas,5040,Southwest,Dallas County,01-Jun-2023,,Approved
196,2023,Region 4,Arkansas,5040,Southwest,Ouachita County,01-Jun-2023,,Approved
197,2023,Region 4,Arkansas,5040,Southwest,Lafayette County,01-Jun-2023,,Approved
198,2023,Region 4,Arkansas,5040,Southwest,Columbia County,01-Jun-2023,,Approved
199,2023,Region 4,Arkansas,5040,Southwest,Nevada County,01-Jun-2023,,Approved
200,2023,Region 4,Arkansas,5040,Southwest,Howard County,01-Jun-2023,,Approved
201,2023,Region 4,Arkansas,5040,Southwest,Union County,01-Jun-2023,,Approved
202,2023,Region 4,Arkansas,5040,Southwest,Calhoun County,01-Jun-2023,,Approved
203,2023,Region 4,Arkansas,5040,Southwest,Miller County,01-Jun-2023,,Approved
204,2023,Region 4,Arkansas,5040,Southwest,Hempstead County,01-Jun-2023,,Approved
205,2023,Region 4,Arkansas,5040,Southwest,Sevier County,01-Jun-2023,,Approved
206,2023,Region 4,Arkansas,5040,Southwest,Little River County,01-Jun-2023,,Approved
207,2023,Region 4,Arkansas,5045,Southeast,Jefferson County,01-Jun-2023,,Approved
208,2023,Region 4,Arkansas,5045,Southeast,Cleveland County,01-Jun-2023,,Approved
209,2023,Region 4,Arkansas,5045,Southeast,Arkansas County,01-Jun-2023,,Approved
210,2023,Region 4,Arkansas,5045,Southeast,Grant County,01-Jun-2023,,Approved
211,2023,Region 4,Arkansas,5045,Southeast,Chicot County,01-Jun-2023,,Approved
212,2023,Region 4,Arkansas,5045,Southeast,Drew County,01-Jun-2023,,Approved
213,2023,Region 4,Arkansas,5045,Southeast,Bradley County,01-Jun-2023,,Approved
214,2023,Region 4,Arkansas,5045,Southeast,Lincoln County,01-Jun-2023,,Approved
215,2023,Region 4,Arkansas,5045,Southeast,Desha County,01-Jun-2023,,Approved
216,2023,Region 4,Arkansas,5045,Southeast,Ashley County,01-Jun-2023,,Approved
217,2023,Region 4,Arkansas,5050,Northeast,Poinsett County,01-Jun-2023,,Approved
218,2023,Region 4,Arkansas,5050,Northeast,Craighead County,01-Jun-2023,,Approved
219,2023,Region 4,Arkansas,5050,Northeast,Mississippi County,01-Jun-2023,,Approved
220,2023,Region 4,Arkansas,5050,Northeast,Clay County,01-Jun-2023,,Approved
221,2023,Region 4,Arkansas,5050,Northeast,Lawrence County,01-Jun-2023,,Approved
222,2023,Region 4,Arkansas,5050,Northeast,Randolph County,01-Jun-2023,,Approved
223,2023,Region 4,Arkansas,5050,Northeast,Greene County,01-Jun-2023,,Approved
224,2023,Region 4,Arkansas,5055,Eastern,Cross County,01-Jun-2023,,Approved
225,2023,Region 4,Arkansas,5055,Eastern,St. Francis County,01-Jun-2023,,Approved
226,2023,Region 4,Arkansas,5055,Eastern,Crittenden County,01-Jun-2023,,Approved
227,2023,Region 4,Arkansas,5055,Eastern,Phillips County,01-Jun-2023,,Approved
228,2023,Region 4,Arkansas,5055,Eastern,Lee County,01-Jun-2023,,Approved
229,2023,Region 6,California,6010,Verdugo Workforce Investment Board,Burbank City In Los Angeles County,01-Jun-2023,,Approved
230,2023,Region 6,California,6010,Verdugo Workforce Investment Board,La Canada/Flintridge City In Los Angeles County,01-Jun-2023,,Approved
231,2023,Region 6,California,6010,Verdugo Workforce Investment Board,Glendale City In Los Angeles County,01-Jun-2023,,Approved
232,2023,Region 6,California,6015,Pacific Gateway Workforce Investment Board,Long Beach City,01-Jun-2023,,Approved
233,2023,Region 6,California,6020,Los Angeles City (LAI),Los Angeles City,01-Jun-2023,,Approved
234,2023,Region 6,California,6025,City of Oakland Workforce Investment Board,Oakland City,01-Jun-2023,,Approved
235,2023,Region 6,California,6030,Foothill Employment and Training Connection,Duarte City In Los Angeles County,01-Jun-2023,,Approved
236,2023,Region 6,California,6030,Foothill Employment and Training Connection,Sierra Madre City In Los Angeles County,01-Jun-2023,,Approved
237,2023,Region 6,California,6030,Foothill Employment and Training Connection,Arcadia City In Los Angeles County,01-Jun-2023,,Approved
238,2023,Region 6,California,6030,Foothill Employment and Training Connection,Pasadena City In Los Angeles County,01-Jun-2023,,Approved
239,2023,Region 6,California,6030,Foothill Employment and Training Connection,Monrovia City In Los Angeles County,01-Jun-2023,,Approved
240,2023,Region 6,California,6030,Foothill Employment and Training Connection,South Pasadena City In Los Angeles County,01-Jun-2023,,Approved
241,2023,Region 6,California,6050,San Francisco (SFO),San Francisco City,01-Jun-2023,,Approved
242,2023,Region 6,California,6055,Richmond Works Employment & Training Dept.,Richmond City,01-Jun-2023,,Approved
243,2023,Region 6,California,6060,County Humboldt Economic Development Division,Humboldt County,01-Jun-2023,,Approved
244,2023,Region 6,California,6070,Workforce Development Board of Contra Costa County,Contra Costa County Less Richmond City,01-Jun-2023,,Approved
245,2023,Region 6,California,6075,Employers Training Resource,Mono County,01-Jun-2023,,Approved
246,2023,Region 6,California,6075,Employers Training Resource,Kern County,01-Jun-2023,,Approved
247,2023,Region 6,California,6075,Employers Training Resource,Inyo County,01-Jun-2023,,Approved
248,2023,Region 6,California,6090,Workforce Investment Board of Merced County,Merced County,01-Jun-2023,,Approved
249,2023,Region 6,California,6095,Monterey County Workforce Investment Board,Monterey County,01-Jun-2023,,Approved
250,2023,Region 6,California,6105,Santa Barbara County Workforce Investment Board,Santa Barbara County,01-Jun-2023,,Approved
251,2023,Region 6,California,6110,Santa Cruz County Workforce Investment Board,Santa Cruz County,01-Jun-2023,,Approved
252,2023,Region 6,California,6115,Workforce Investment Board of Solano County,Solano County,01-Jun-2023,,Approved
253,2023,Region 6,California,6120,Sonoma County Workforce Investment Board,Sonoma County,01-Jun-2023,,Approved
